,train,val,test
0,B201813098C_c1,B201716192A2_c1,B201716192A2_c1
1,B201812551C_c2,B201806722A_c3,B201806722A_c3
2,B201812551C_c3,B201718108A_c3,B201718108A_c3
3,B201812551C_c1,B201710377B_c2,B201710377B_c2
4,B201735334F_c1,B201710377B_c5,B201710377B_c5
5,B201800437A_c2,B201725590F_c3,B201725590F_c3
6,B201800437A_c3,B201706114_c1,B201706114_c1
7,B201800437A_c1,B201809110B_c2,B201809110B_c2
8,B201716192A2_c4,B201809110B_c3,B201809110B_c3
9,B201716192A2_c2,B201813098E_c2,B201813098E_c2
10,B201716192A2_c3,B201816126A_c1,B201816126A_c1
11,B201732854A_c2,B201710386A_c2,B201710386A_c2
12,B201732854A_c3,B201812551A_c2,B201812551A_c2
13,B201732854A_c1,B202008386C_c4,B202008386C_c4
14,B201806722A_c2,B202008386C_c3,B202008386C_c3
15,B201806722A_c1,B201710386E_c5,B201710386E_c5
16,B201735334C_c1,B201800437C_c3,B201800437C_c3
17,B201718108A_c4,B201725590A_c1,B201725590A_c1
18,B201718108A_c2,B201710386F_c4,B201710386F_c4
19,B201718108A_c1,B201735334A_c1,B201735334A_c1
20,B201715932_c2,B201813750A_c2,B201813750A_c2
21,B201715932_c3,B202004165C_c2,B202004165C_c2
22,B201715932_c1,B201809110A_c1,B201809110A_c1
23,B201721383A2_c2,B201801711B_c2,B201801711B_c2
24,B201721383A2_c1,B201813097B_c2,B201813097B_c2
25,B201710377B_c4,B201813097C_c3,B201813097C_c3
26,B201710377B_c3,B201802055B_c4,B201802055B_c4
27,B201710377B_c1,B201802055B_c2,B201802055B_c2
28,B201813750B2_c1,B201730844_c1,B201730844_c1
29,B201725590F_c2,B201802055A_c4,B201802055A_c4
30,B201725590F_c1,B201735334H_c2,B201735334H_c2
31,B201706114_c4,B201720076A3_c3,B201720076A3_c3
32,B201706114_c2,B201710386B_c2,B201710386B_c2
33,B201706114_c3,B201710386B_c1,B201710386B_c1
34,B201731277A_c2,B201725590E_c1,B201725590E_c1
35,B201731277A_c3,B201710379A_c3,B201710379A_c3
36,B201731277A_c1,B201727680C2_c1,B201727680C2_c1
37,B201731277B_c2,B201710377A_c2,B201710377A_c2
38,B201731277B_c1,B201710377A_c5,B201710377A_c5
39,B201809110B_c1,B201809109A_c1,B201809109A_c1
40,B201813098E_c3,B201801711A_c2,B201801711A_c2
41,B201813098E_c1,B201801711A_c1,B201801711A_c1
42,B201727680B2_c2,B201720538A1_c2,B201720538A1_c2
43,B201727680B2_c1,B201720538A1_c3,B201720538A1_c3
44,B201816126A_c4,B201710379B_c2,B201710379B_c2
45,B201816126A_c2,B201735334G_c1,B201735334G_c1
46,B201816126A_c3,B201725590C_c2,B201725590C_c2
47,B201816126A_c5,B202012097A_c2,B202012097A_c2
48,B201710386A_c3,B202012097A_c3,B202012097A_c3
49,B201710386A_c1,B201732854B_c3,B201732854B_c3
50,B201723919_c4,B201732854B_c1,B201732854B_c1
51,B201723919_c2,B201813097A_c3,B201813097A_c3
52,B201723919_c3,B201715930A1_c2,B201715930A1_c2
53,B201723919_c1,B201714117_c3,B201714117_c3
54,B201718108B_c2,B201720538A3_c4,B201720538A3_c4
55,B201718108B_c1,B201720538A3_c3,B201720538A3_c3
56,B201702546_c4,B201801711C_c1,B201801711C_c1
57,B201702546_c2,,
58,B201702546_c3,,
59,B201702546_c1,,
60,B201725590B_c2,,
61,B201725590B_c3,,
62,B201725590B_c1,,
63,B201817578A_c2,,
64,B201817578A_c3,,
65,B201817578A_c1,,
66,B201812551A_c4,,
67,B201812551A_c3,,
68,B201812551A_c1,,
69,B201735334B_c2,,
70,B201735334B_c1,,
71,B201739044B_c2,,
72,B201739044B_c3,,
73,B201739044B_c1,,
74,B201806722B_c2,,
75,B201806722B_c3,,
76,B201806722B_c1,,
77,B202008386C_c2,,
78,B202008386C_c1,,
79,B201710386E_c4,,
80,B201710386E_c2,,
81,B201710386E_c3,,
82,B201710386E_c1,,
83,B201800437C_c2,,
84,B201800437C_c1,,
85,B201816126B_c1,,
86,B201720538A4_c4,,
87,B201720538A4_c2,,
88,B201720538A4_c3,,
89,B201720538A4_c1,,
90,B201725590A_c4,,
91,B201725590A_c2,,
92,B201725590A_c3,,
93,B201813750B1_c1,,
94,B201813098A_c2,,
95,B201813098A_c1,,
96,B201710386F_c2,,
97,B201710386F_c3,,
98,B201710386F_c1,,
99,B201814242C_c4,,
100,B201814242C_c2,,
101,B201814242C_c3,,
102,B201809109B_c2,,
103,B201727680C1_c2,,
104,B201727680C1_c1,,
105,B201813750A_c3,,
106,B201813750A_c1,,
107,B201817578C_c2,,
108,B201817578C_c3,,
109,B201817578C_c1,,
110,B202016825A_c4,,
111,B202016825A_c2,,
112,B202016825A_c3,,
113,B202016825A_c1,,
114,B202004165C_c3,,
115,B202004165C_c1,,
116,B201800437B_c2,,
117,B201800437B_c1,,
118,B201801711B_c1,,
119,B201720538A2_c4,,
120,B201720538A2_c2,,
121,B201720538A2_c3,,
122,B201720538A2_c1,,
123,B201813097B_c3,,
124,B201813097B_c1,,
125,B201813097C_c2,,
126,B201813097C_c1,,
127,B201812551B_c4,,
128,B201812551B_c2,,
129,B201812551B_c3,,
130,B201812551B_c1,,
131,B201802055B_c3,,
132,B201802055B_c1,,
133,B201730844_c2,,
134,B201730844_c3,,
135,B201802055A_c2,,
136,B201802055A_c3,,
137,B201802055A_c1,,
138,B201710377C_c4,,
139,B201710377C_c2,,
140,B201710377C_c3,,
141,B201710377C_c1,,
142,B201710377C_c5,,
143,B201735334H_c1,,
144,B201720076A3_c2,,
145,B201720076A3_c1,,
146,B201809110C_c2,,
147,B201809110C_c3,,
148,B201809110C_c1,,
149,B201710386B_c3,,
150,B201725590E_c4,,
151,B201725590E_c2,,
152,B201725590E_c3,,
153,B201710379A_c4,,
154,B201710379A_c2,,
155,B201710379A_c1,,
156,B201727680C2_c2,,
157,B201710377A_c4,,
158,B201710377A_c3,,
159,B201710377A_c1,,
160,B201816126C_c1,,
161,B201809109A_c2,,
162,B201809109A_c3,,
163,B201720076A4_c2,,
164,B201720076A4_c1,,
165,B201710382B_c2,,
166,B201710382B_c3,,
167,B201710382B_c1,,
168,B201721383A4_c1,,
169,B201814242A_c4,,
170,B201814242A_c2,,
171,B201814242A_c3,,
172,B201814242A_c1,,
173,B201809109C_c4,,
174,B201809109C_c2,,
175,B201809109C_c3,,
176,B201809109C_c1,,
177,B201715933_c2,,
178,B201715933_c3,,
179,B201715933_c1,,
180,B201803401B_c4,,
181,B201803401B_c2,,
182,B201803401B_c3,,
183,B201803401B_c1,,
184,B201720538A1_c4,,
185,B201720538A1_c1,,
186,B201710379B_c3,,
187,B201710379B_c1,,
188,B201803401A_c4,,
189,B201803401A_c2,,
190,B201803401A_c3,,
191,B201803401A_c1,,
192,B201715930A2_c2,,
193,B201715930A2_c3,,
194,B201715930A2_c1,,
195,B201739044C_c2,,
196,B201739044C_c1,,
197,B201813750B3_c1,,
198,B201725590C_c3,,
199,B201725590C_c1,,
200,B201727680B1_c2,,
201,B201727680B1_c1,,
202,B202012097A_c4,,
203,B202012097A_c1,,
204,B202012097A_c5,,
205,B201813098B_c1,,
206,B201732854B_c2,,
207,B201813097A_c2,,
