,train,val,test
0,B201812551C_c2,B201813098C_c1,B201813098C_c1
1,B201812551C_c3,B201800437A_c1,B201800437A_c1
2,B201812551C_c1,B201732854A_c2,B201732854A_c2
3,B201735334F_c1,B201806722A_c2,B201806722A_c2
4,B201800437A_c2,B201721383A2_c1,B201721383A2_c1
5,B201800437A_c3,B201710377B_c3,B201710377B_c3
6,B201716192A2_c4,B201725590F_c2,B201725590F_c2
7,B201716192A2_c2,B201731277A_c1,B201731277A_c1
8,B201716192A2_c3,B201731277B_c1,B201731277B_c1
9,B201716192A2_c1,B201816126A_c5,B201816126A_c5
10,B201732854A_c3,B201710386A_c3,B201710386A_c3
11,B201732854A_c1,B201710386A_c1,B201710386A_c1
12,B201806722A_c3,B201723919_c2,B201723919_c2
13,B201806722A_c1,B201702546_c1,B201702546_c1
14,B201735334C_c1,B201725590B_c3,B201725590B_c3
15,B201718108A_c4,B201817578A_c2,B201817578A_c2
16,B201718108A_c2,B201735334B_c2,B201735334B_c2
17,B201718108A_c3,B201739044B_c2,B201739044B_c2
18,B201718108A_c1,B201806722B_c2,B201806722B_c2
19,B201715932_c2,B201806722B_c3,B201806722B_c3
20,B201715932_c3,B201806722B_c1,B201806722B_c1
21,B201715932_c1,B201710386E_c4,B201710386E_c4
22,B201721383A2_c2,B201710386E_c3,B201710386E_c3
23,B201710377B_c4,B201710386E_c1,B201710386E_c1
24,B201710377B_c2,B201720538A4_c4,B201720538A4_c4
25,B201710377B_c1,B201720538A4_c3,B201720538A4_c3
26,B201710377B_c5,B201710386F_c2,B201710386F_c2
27,B201813750B2_c1,B201814242C_c4,B201814242C_c4
28,B201725590F_c3,B201727680C1_c2,B201727680C1_c2
29,B201725590F_c1,B201813750A_c3,B201813750A_c3
30,B201706114_c4,B201817578C_c2,B201817578C_c2
31,B201706114_c2,B202004165C_c3,B202004165C_c3
32,B201706114_c3,B201720538A2_c2,B201720538A2_c2
33,B201706114_c1,B201813097B_c3,B201813097B_c3
34,B201731277A_c2,B201812551B_c4,B201812551B_c4
35,B201731277A_c3,B201802055B_c3,B201802055B_c3
36,B201731277B_c2,B201802055A_c2,B201802055A_c2
37,B201809110B_c2,B201802055A_c3,B201802055A_c3
38,B201809110B_c3,B201725590E_c2,B201725590E_c2
39,B201809110B_c1,B201710379A_c4,B201710379A_c4
40,B201813098E_c2,B201710379A_c2,B201710379A_c2
41,B201813098E_c3,B201816126C_c1,B201816126C_c1
42,B201813098E_c1,B201720076A4_c2,B201720076A4_c2
43,B201727680B2_c2,B201710382B_c3,B201710382B_c3
44,B201727680B2_c1,B201814242A_c1,B201814242A_c1
45,B201816126A_c4,B201715933_c2,B201715933_c2
46,B201816126A_c2,B201715933_c1,B201715933_c1
47,B201816126A_c3,B201803401B_c2,B201803401B_c2
48,B201816126A_c1,B201803401A_c1,B201803401A_c1
49,B201710386A_c2,B201727680B1_c2,B201727680B1_c2
50,B201723919_c4,B202012097A_c5,B202012097A_c5
51,B201723919_c3,B201813098B_c1,B201813098B_c1
52,B201723919_c1,B201813097A_c2,B201813097A_c2
53,B201718108B_c2,B201923782A_c3,B201923782A_c3
54,B201718108B_c1,B201923782A_c1,B201923782A_c1
55,B201702546_c4,B201718108C_c2,B201718108C_c2
56,B201702546_c2,B201720538A3_c1,B201720538A3_c1
57,B201702546_c3,,
58,B201725590B_c2,,
59,B201725590B_c1,,
60,B201817578A_c3,,
61,B201817578A_c1,,
62,B201812551A_c4,,
63,B201812551A_c2,,
64,B201812551A_c3,,
65,B201812551A_c1,,
66,B201735334B_c1,,
67,B201739044B_c3,,
68,B201739044B_c1,,
69,B202008386C_c4,,
70,B202008386C_c2,,
71,B202008386C_c3,,
72,B202008386C_c1,,
73,B201710386E_c2,,
74,B201710386E_c5,,
75,B201800437C_c2,,
76,B201800437C_c3,,
77,B201800437C_c1,,
78,B201816126B_c1,,
79,B201720538A4_c2,,
80,B201720538A4_c1,,
81,B201725590A_c4,,
82,B201725590A_c2,,
83,B201725590A_c3,,
84,B201725590A_c1,,
85,B201813750B1_c1,,
86,B201813098A_c2,,
87,B201813098A_c1,,
88,B201710386F_c4,,
89,B201710386F_c3,,
90,B201710386F_c1,,
91,B201814242C_c2,,
92,B201814242C_c3,,
93,B201809109B_c2,,
94,B201727680C1_c1,,
95,B201735334A_c1,,
96,B201813750A_c2,,
97,B201813750A_c1,,
98,B201817578C_c3,,
99,B201817578C_c1,,
100,B202016825A_c4,,
101,B202016825A_c2,,
102,B202016825A_c3,,
103,B202016825A_c1,,
104,B202004165C_c2,,
105,B202004165C_c1,,
106,B201809110A_c1,,
107,B201800437B_c2,,
108,B201800437B_c1,,
109,B201801711B_c2,,
110,B201801711B_c1,,
111,B201720538A2_c4,,
112,B201720538A2_c3,,
113,B201720538A2_c1,,
114,B201813097B_c2,,
115,B201813097B_c1,,
116,B201813097C_c2,,
117,B201813097C_c3,,
118,B201813097C_c1,,
119,B201812551B_c2,,
120,B201812551B_c3,,
121,B201812551B_c1,,
122,B201802055B_c4,,
123,B201802055B_c2,,
124,B201802055B_c1,,
125,B201730844_c2,,
126,B201730844_c3,,
127,B201730844_c1,,
128,B201802055A_c4,,
129,B201802055A_c1,,
130,B201710377C_c4,,
131,B201710377C_c2,,
132,B201710377C_c3,,
133,B201710377C_c1,,
134,B201710377C_c5,,
135,B201735334H_c2,,
136,B201735334H_c1,,
137,B201720076A3_c2,,
138,B201720076A3_c3,,
139,B201720076A3_c1,,
140,B201809110C_c2,,
141,B201809110C_c3,,
142,B201809110C_c1,,
143,B201710386B_c2,,
144,B201710386B_c3,,
145,B201710386B_c1,,
146,B201725590E_c4,,
147,B201725590E_c3,,
148,B201725590E_c1,,
149,B201710379A_c3,,
150,B201710379A_c1,,
151,B201727680C2_c2,,
152,B201727680C2_c1,,
153,B201710377A_c4,,
154,B201710377A_c2,,
155,B201710377A_c3,,
156,B201710377A_c1,,
157,B201710377A_c5,,
158,B201809109A_c2,,
159,B201809109A_c3,,
160,B201809109A_c1,,
161,B201720076A4_c1,,
162,B201710382B_c2,,
163,B201710382B_c1,,
164,B201721383A4_c1,,
165,B201814242A_c4,,
166,B201814242A_c2,,
167,B201814242A_c3,,
168,B201809109C_c4,,
169,B201809109C_c2,,
170,B201809109C_c3,,
171,B201809109C_c1,,
172,B201801711A_c2,,
173,B201801711A_c1,,
174,B201715933_c3,,
175,B201803401B_c4,,
176,B201803401B_c3,,
177,B201803401B_c1,,
178,B201720538A1_c4,,
179,B201720538A1_c2,,
180,B201720538A1_c3,,
181,B201720538A1_c1,,
182,B201710379B_c2,,
183,B201710379B_c3,,
184,B201710379B_c1,,
185,B201803401A_c4,,
186,B201803401A_c2,,
187,B201803401A_c3,,
188,B201715930A2_c2,,
189,B201715930A2_c3,,
190,B201715930A2_c1,,
191,B201739044C_c2,,
192,B201739044C_c1,,
193,B201735334G_c1,,
194,B201813750B3_c1,,
195,B201725590C_c2,,
196,B201725590C_c3,,
197,B201725590C_c1,,
198,B201727680B1_c1,,
199,B202012097A_c4,,
200,B202012097A_c2,,
201,B202012097A_c3,,
202,B202012097A_c1,,
203,B201732854B_c2,,
204,B201732854B_c3,,
205,B201732854B_c1,,
206,B201813097A_c3,,
207,B201813097A_c1,,
208,B201715930A1_c2,,
209,B201715930A1_c3,,
210,B201715930A1_c1,,
211,B201923782A_c2,,
212,B201735334E_c1,,
213,B201727090A_c2,,
214,B201727090A_c3,,
215,B201727090A_c1,,
216,B201720076A1_c2,,
217,B201720076A1_c1,,
218,B201718108C_c3,,
219,B201718108C_c1,,
220,B201714117_c4,,
221,B201714117_c2,,
222,B201714117_c3,,
223,B201714117_c1,,
224,B201714117_c5,,
225,B201720538A3_c4,,
226,B201720538A3_c2,,
227,B201720538A3_c3,,
228,B201801711C_c1,,
