,train,val,test
0,16B0006668,17B0028627,17B0028627
1,16B0006669,17B0016589,17B0016589
2,17B0024162,17B0029587,17B0029587
3,17B0034675,16B0008067,16B0008067
4,17B0035225,16B0026796,16B0026796
5,18B0001506G,17B0023909,17B0023909
6,16B0003388,17B0031879,17B0031879
7,17B0015777,18B0001159D,18B0001159D
8,17B0016583,18B0002975B,18B0002975B
9,17B0017717,18B0006177A,18B0006177A
10,17B0019359,17B0015685,17B0015685
11,17B00208861,17B0031061,17B0031061
12,17B0021010,18B0006622E,18B0006622E
13,17B0031079,18B0005125B,18B0005125B
14,17B0031890,16B0022613,16B0022613
15,17B0034184,16B0024177,16B0024177
16,18B0004349G,17B0016566,17B0016566
17,16B0001851,17B0031103,17B0031103
18,16B0006694,17B0034247,17B0034247
19,16B0006695,18B0002933I,18B0002933I
20,16B0023613,18B0004349A,18B0004349A
21,16B0023614,18B0006169B,18B0006169B
22,16B0026792,18B000646H,18B000646H
23,16B0026794,16B0024181,16B0024181
24,17B0015969,16B0028148,16B0028148
25,17B0017454,16B0028815,16B0028815
26,17B0017511,18B0005478B,18B0005478B
27,17B00208864,18B0005478G,18B0005478G
28,17B0024636,18B0006623B,18B0006623B
29,17B0027608,18B0006623H,18B0006623H
30,17B0031109,,
31,17B0031877,,
32,17B0032153,,
33,17B0034449,,
34,17B0034674,,
35,18B0001071H,,
36,18B0001510G,,
37,18B0001510J,,
38,18B0001971B,,
39,18B0002930B,,
40,18B0003896D,,
41,18B0004346A,,
42,18B0005718B,,
43,18B0005773,,
44,18B0006179I,,
45,16B0003394,,
46,16B0008045,,
47,17B0015554,,
48,17B0022792,,
49,17B0023487,,
50,17B0023980,,
51,17B0031053,,
52,17B0031124,,
53,17B0031911,,
54,17B0031932,,
55,18B0005126C,,
56,17B0027646,,
57,17B0035220,,
58,18B0003808K,,
59,18B001071J,,
60,16B0022608,,
61,16B0022610,,
62,16B0022612,,
63,16B0022615,,
64,16B0022781,,
65,16B0022786,,
66,16B0024175,,
67,16B0026795,,
68,16B0028914,,
69,17B00116581,,
70,17B0011996,,
71,17B0016579,,
72,17B0017506,,
73,17B0018428,,
74,17B0029534,,
75,17B0031108,,
76,17B0031893,,
77,17B0031904,,
78,17B0034179,,
79,18B0001966H,,
80,18B0002452G,,
81,18B0002932D,,
82,18B0002933H,,
83,18B0003032A,,
84,18B0003894H,,
85,18B0003894J,,
86,18B0003901F,,
87,18B0004358D,,
88,18B0005124A,,
89,18B0005230E,,
90,18B0005477G,,
91,18B0006170D,,
92,18B0006173F,,
93,18B0006174B,,
94,18B000646G,,
95,18B0006621D,,
96,16B0022616,,
97,16B0024173,,
98,16B0024174,,
99,16B0027038,,
100,16B0027039,,
101,16B0027040,,
102,16B0028138,,
103,16B0028161,,
104,16B0028168,,
105,16B0028813,,
106,16B0028814,,
107,16B0028816,,
108,16B0028817,,
109,16B0028822,,
110,18B0005478A,,
111,18B0005478C,,
112,18B0005478D,,
113,18B0005478E,,
114,18B0005478F,,
115,18B0005478H,,
116,18B0005478I,,
117,18B0005478J,,
118,18B0006623A,,
119,18B0006623C,,
120,18B0006623D,,
121,18B0006623F,,
122,18B0006623G,,
123,18B0006623I,,
124,18B0006623J,,
