,train,val,test
0,16B0006668,17B0024162,17B0024162
1,16B0006669,17B0016583,17B0016583
2,17B0028627,17B0021010,17B0021010
3,17B0034675,18B0004349G,18B0004349G
4,17B0035225,16B0006695,16B0006695
5,18B0001506G,16B0026794,16B0026794
6,16B0003388,17B00208864,17B00208864
7,17B0015777,17B0031877,17B0031877
8,17B0016589,18B0001071H,18B0001071H
9,17B0017717,18B0002930B,18B0002930B
10,17B0019359,18B0005773,18B0005773
11,17B00208861,17B0015554,17B0015554
12,17B0029587,17B0031053,17B0031053
13,17B0031079,18B0005126C,18B0005126C
14,17B0031890,18B0003808K,18B0003808K
15,17B0034184,16B0022612,16B0022612
16,16B0001851,16B0024175,16B0024175
17,16B0006694,17B0011996,17B0011996
18,16B0008067,17B0029534,17B0029534
19,16B0023613,17B0034179,17B0034179
20,16B0023614,18B0002933H,18B0002933H
21,16B0026792,18B0003901F,18B0003901F
22,16B0026796,18B0005477G,18B0005477G
23,17B0015969,18B000646G,18B000646G
24,17B0017454,16B0024174,16B0024174
25,17B0017511,16B0028138,16B0028138
26,17B0023909,16B0028814,16B0028814
27,17B0024636,18B0005478A,18B0005478A
28,17B0027608,18B0005478F,18B0005478F
29,17B0031109,18B0006623A,18B0006623A
30,17B0031879,18B0006623G,18B0006623G
31,17B0032153,,
32,17B0034449,,
33,17B0034674,,
34,18B0001159D,,
35,18B0001510G,,
36,18B0001510J,,
37,18B0001971B,,
38,18B0002975B,,
39,18B0003896D,,
40,18B0004346A,,
41,18B0005718B,,
42,18B0006177A,,
43,18B0006179I,,
44,16B0003394,,
45,16B0008045,,
46,17B0015685,,
47,17B0022792,,
48,17B0023487,,
49,17B0023980,,
50,17B0031061,,
51,17B0031124,,
52,17B0031911,,
53,17B0031932,,
54,18B0006622E,,
55,17B0027646,,
56,17B0035220,,
57,18B0005125B,,
58,18B001071J,,
59,16B0022608,,
60,16B0022610,,
61,16B0022613,,
62,16B0022615,,
63,16B0022781,,
64,16B0022786,,
65,16B0024177,,
66,16B0026795,,
67,16B0028914,,
68,17B00116581,,
69,17B0016566,,
70,17B0016579,,
71,17B0017506,,
72,17B0018428,,
73,17B0031103,,
74,17B0031108,,
75,17B0031893,,
76,17B0031904,,
77,17B0034247,,
78,18B0001966H,,
79,18B0002452G,,
80,18B0002932D,,
81,18B0002933I,,
82,18B0003032A,,
83,18B0003894H,,
84,18B0003894J,,
85,18B0004349A,,
86,18B0004358D,,
87,18B0005124A,,
88,18B0005230E,,
89,18B0006169B,,
90,18B0006170D,,
91,18B0006173F,,
92,18B0006174B,,
93,18B000646H,,
94,18B0006621D,,
95,16B0022616,,
96,16B0024173,,
97,16B0024181,,
98,16B0027038,,
99,16B0027039,,
100,16B0027040,,
101,16B0028148,,
102,16B0028161,,
103,16B0028168,,
104,16B0028813,,
105,16B0028815,,
106,16B0028816,,
107,16B0028817,,
108,16B0028822,,
109,18B0005478B,,
110,18B0005478C,,
111,18B0005478D,,
112,18B0005478E,,
113,18B0005478G,,
114,18B0005478H,,
115,18B0005478I,,
116,18B0005478J,,
117,18B0006623B,,
118,18B0006623C,,
119,18B0006623D,,
120,18B0006623F,,
121,18B0006623H,,
122,18B0006623I,,
123,18B0006623J,,
