,train,val,test
0,crc_1,crc_0,crc_302
1,crc_2,crc_11,crc_303
2,crc_3,crc_14,crc_304
3,crc_4,crc_16,crc_305
4,crc_5,crc_25,crc_306
5,crc_6,crc_26,crc_307
6,crc_7,crc_31,crc_308
7,crc_8,crc_37,crc_309
8,crc_9,crc_41,crc_310
9,crc_10,crc_42,crc_311
10,crc_12,crc_47,crc_312
11,crc_13,crc_65,crc_313
12,crc_15,crc_83,crc_314
13,crc_17,crc_90,crc_315
14,crc_18,crc_92,crc_316
15,crc_19,crc_96,crc_317
16,crc_20,crc_98,crc_318
17,crc_21,crc_101,crc_319
18,crc_22,crc_105,crc_320
19,crc_23,crc_106,crc_321
20,crc_24,crc_109,crc_322
21,crc_27,crc_112,crc_323
22,crc_28,crc_116,crc_324
23,crc_29,crc_117,crc_325
24,crc_30,crc_118,crc_326
25,crc_32,crc_120,crc_327
26,crc_33,crc_121,crc_328
27,crc_34,crc_123,crc_329
28,crc_35,crc_138,crc_330
29,crc_36,crc_142,crc_331
30,crc_38,crc_144,crc_332
31,crc_39,crc_146,crc_333
32,crc_40,crc_148,crc_334
33,crc_43,crc_154,crc_335
34,crc_44,crc_155,crc_336
35,crc_45,crc_168,crc_337
36,crc_46,crc_173,crc_338
37,crc_48,crc_177,crc_339
38,crc_49,crc_178,crc_340
39,crc_50,crc_182,crc_341
40,crc_51,crc_184,crc_342
41,crc_52,crc_195,crc_343
42,crc_53,crc_196,crc_344
43,crc_54,crc_197,crc_345
44,crc_55,crc_198,crc_346
45,crc_56,crc_204,crc_347
46,crc_57,crc_211,crc_348
47,crc_58,crc_214,crc_349
48,crc_59,crc_215,crc_350
49,crc_60,crc_216,crc_351
50,crc_61,crc_217,crc_352
51,crc_62,crc_230,crc_353
52,crc_63,crc_234,crc_354
53,crc_64,crc_239,crc_355
54,crc_66,crc_242,crc_356
55,crc_67,crc_243,crc_357
56,crc_68,crc_245,crc_358
57,crc_69,crc_251,crc_359
58,crc_70,crc_252,crc_360
59,crc_71,crc_254,crc_361
60,crc_72,crc_259,crc_362
61,crc_73,crc_260,crc_363
62,crc_74,crc_265,crc_364
63,crc_75,crc_274,crc_365
64,crc_76,crc_277,crc_366
65,crc_77,crc_279,crc_367
