,train,val,test
0,test_003,test_009,test_009
1,test_005,test_018,test_018
2,test_006,test_024,test_024
3,test_007,test_034,test_034
4,test_012,test_041,test_041
5,test_014,test_047,test_047
6,test_015,test_056,test_056
7,test_017,test_062,test_062
8,test_019,test_076,test_076
9,test_020,test_083,test_083
10,test_022,test_089,test_089
11,test_023,test_098,test_098
12,test_025,test_107,test_107
13,test_028,test_115,test_115
14,test_031,test_124,test_124
15,test_032,test_129,test_129
16,test_035,normal_004,normal_004
17,test_036,normal_009,normal_009
18,test_037,normal_014,normal_014
19,test_039,normal_019,normal_019
20,test_042,normal_024,normal_024
21,test_043,normal_029,normal_029
22,test_044,normal_034,normal_034
23,test_045,normal_039,normal_039
24,test_050,normal_044,normal_044
25,test_053,normal_049,normal_049
26,test_054,normal_054,normal_054
27,test_055,normal_059,normal_059
28,test_057,normal_064,normal_064
29,test_058,normal_069,normal_069
30,test_059,normal_074,normal_074
31,test_060,normal_079,normal_079
32,test_063,normal_084,normal_084
33,test_067,normal_089,normal_089
34,test_070,normal_094,normal_094
35,test_072,normal_099,normal_099
36,test_077,normal_104,normal_104
37,test_078,normal_109,normal_109
38,test_080,normal_114,normal_114
39,test_081,normal_119,normal_119
40,test_085,normal_124,normal_124
41,test_086,normal_129,normal_129
42,test_087,normal_134,normal_134
43,test_088,normal_139,normal_139
44,test_091,normal_144,normal_144
45,test_093,normal_149,normal_149
46,test_095,normal_154,normal_154
47,test_096,normal_159,normal_159
48,test_100,test_010,test_010
49,test_101,test_026,test_026
50,test_103,test_038,test_038
51,test_106,test_052,test_052
52,test_109,test_068,test_068
53,test_111,test_075,test_075
54,test_112,test_092,test_092
55,test_114,test_104,test_104
56,test_118,test_116,test_116
57,test_119,tumor_002,tumor_002
58,test_120,tumor_007,tumor_007
59,test_123,tumor_012,tumor_012
60,test_125,tumor_017,tumor_017
61,test_126,tumor_022,tumor_022
62,test_127,tumor_027,tumor_027
63,test_128,tumor_032,tumor_032
64,test_130,tumor_037,tumor_037
65,normal_001,tumor_042,tumor_042
66,normal_002,tumor_047,tumor_047
67,normal_003,tumor_052,tumor_052
68,normal_005,tumor_057,tumor_057
69,normal_006,tumor_062,tumor_062
70,normal_007,tumor_067,tumor_067
71,normal_008,tumor_072,tumor_072
72,normal_010,tumor_077,tumor_077
73,normal_011,tumor_082,tumor_082
74,normal_012,tumor_087,tumor_087
75,normal_013,tumor_092,tumor_092
76,normal_015,tumor_097,tumor_097
77,normal_016,tumor_102,tumor_102
78,normal_017,tumor_107,tumor_107
79,normal_018,,
80,normal_020,,
81,normal_021,,
82,normal_022,,
83,normal_023,,
84,normal_025,,
85,normal_026,,
86,normal_027,,
87,normal_028,,
88,normal_030,,
89,normal_031,,
90,normal_032,,
91,normal_033,,
92,normal_035,,
93,normal_036,,
94,normal_037,,
95,normal_038,,
96,normal_040,,
97,normal_041,,
98,normal_042,,
99,normal_043,,
100,normal_045,,
101,normal_046,,
102,normal_047,,
103,normal_048,,
104,normal_050,,
105,normal_051,,
106,normal_052,,
107,normal_053,,
108,normal_055,,
109,normal_056,,
110,normal_057,,
111,normal_058,,
112,normal_060,,
113,normal_061,,
114,normal_062,,
115,normal_063,,
116,normal_065,,
117,normal_066,,
118,normal_067,,
119,normal_068,,
120,normal_070,,
121,normal_071,,
122,normal_072,,
123,normal_073,,
124,normal_075,,
125,normal_076,,
126,normal_077,,
127,normal_078,,
128,normal_080,,
129,normal_081,,
130,normal_082,,
131,normal_083,,
132,normal_085,,
133,normal_086,,
134,normal_087,,
135,normal_088,,
136,normal_090,,
137,normal_091,,
138,normal_092,,
139,normal_093,,
140,normal_095,,
141,normal_096,,
142,normal_097,,
143,normal_098,,
144,normal_100,,
145,normal_101,,
146,normal_102,,
147,normal_103,,
148,normal_105,,
149,normal_106,,
150,normal_107,,
151,normal_108,,
152,normal_110,,
153,normal_111,,
154,normal_112,,
155,normal_113,,
156,normal_115,,
157,normal_116,,
158,normal_117,,
159,normal_118,,
160,normal_120,,
161,normal_121,,
162,normal_122,,
163,normal_123,,
164,normal_125,,
165,normal_126,,
166,normal_127,,
167,normal_128,,
168,normal_130,,
169,normal_131,,
170,normal_132,,
171,normal_133,,
172,normal_135,,
173,normal_136,,
174,normal_137,,
175,normal_138,,
176,normal_140,,
177,normal_141,,
178,normal_142,,
179,normal_143,,
180,normal_145,,
181,normal_146,,
182,normal_147,,
183,normal_148,,
184,normal_150,,
185,normal_151,,
186,normal_152,,
187,normal_153,,
188,normal_155,,
189,normal_156,,
190,normal_157,,
191,normal_158,,
192,test_001,,
193,test_002,,
194,test_004,,
195,test_008,,
196,test_011,,
197,test_013,,
198,test_016,,
199,test_021,,
200,test_027,,
201,test_029,,
202,test_030,,
203,test_033,,
204,test_040,,
205,test_046,,
206,test_048,,
207,test_051,,
208,test_061,,
209,test_064,,
210,test_065,,
211,test_066,,
212,test_069,,
213,test_071,,
214,test_073,,
215,test_074,,
216,test_079,,
217,test_082,,
218,test_084,,
219,test_090,,
220,test_094,,
221,test_097,,
222,test_099,,
223,test_102,,
224,test_105,,
225,test_108,,
226,test_110,,
227,test_113,,
228,test_117,,
229,test_121,,
230,test_122,,
231,tumor_001,,
232,tumor_003,,
233,tumor_004,,
234,tumor_005,,
235,tumor_006,,
236,tumor_008,,
237,tumor_009,,
238,tumor_010,,
239,tumor_011,,
240,tumor_013,,
241,tumor_014,,
242,tumor_015,,
243,tumor_016,,
244,tumor_018,,
245,tumor_019,,
246,tumor_020,,
247,tumor_021,,
248,tumor_023,,
249,tumor_024,,
250,tumor_025,,
251,tumor_026,,
252,tumor_028,,
253,tumor_029,,
254,tumor_030,,
255,tumor_031,,
256,tumor_033,,
257,tumor_034,,
258,tumor_035,,
259,tumor_036,,
260,tumor_038,,
261,tumor_039,,
262,tumor_040,,
263,tumor_041,,
264,tumor_043,,
265,tumor_044,,
266,tumor_045,,
267,tumor_046,,
268,tumor_048,,
269,tumor_049,,
270,tumor_050,,
271,tumor_051,,
272,tumor_053,,
273,tumor_054,,
274,tumor_055,,
275,tumor_056,,
276,tumor_058,,
277,tumor_059,,
278,tumor_060,,
279,tumor_061,,
280,tumor_063,,
281,tumor_064,,
282,tumor_065,,
283,tumor_066,,
284,tumor_068,,
285,tumor_069,,
286,tumor_070,,
287,tumor_071,,
288,tumor_073,,
289,tumor_074,,
290,tumor_075,,
291,tumor_076,,
292,tumor_078,,
293,tumor_079,,
294,tumor_080,,
295,tumor_081,,
296,tumor_083,,
297,tumor_084,,
298,tumor_085,,
299,tumor_086,,
300,tumor_088,,
301,tumor_089,,
302,tumor_090,,
303,tumor_091,,
304,tumor_093,,
305,tumor_094,,
306,tumor_095,,
307,tumor_096,,
308,tumor_098,,
309,tumor_099,,
310,tumor_100,,
311,tumor_101,,
312,tumor_103,,
313,tumor_104,,
314,tumor_105,,
315,tumor_106,,
316,tumor_108,,
317,tumor_109,,
318,tumor_110,,
319,tumor_111,,
