,train,val,test
0,B201907993C1,B201936411A,B201936411A
1,B201931995D,B202002395C1,B202002395C1
2,B201936411B,B201919084B2,B201919084B2
3,B201905872A1,B201931995B,B201931995B
4,B201931817B2,B201928825B2,B201928825B2
5,B201905872A2,B201200976C,B201200976C
6,B201905872B2,B201614308C,B201614308C
7,B201912177A2,B201402563D2,B201402563D2
8,B201928825D1,B201612702A2,B201612702A2
9,B201905872C2,B201834778B2,B201834778B2
10,B201905872C1,B201823770A2,B201823770A2
11,B201907993A2,B201805990C,B201805990C
12,B201907993B1,B201804612B2_2,B201804612B2_2
13,B201931995C,B201806702B1,B201806702B1
14,B201931995A,B201804612A2,B201804612A2
15,B201907993A1,B201806702B2,B201806702B2
16,B201905872B1,B201804612B2_1,B201804612B2_1
17,B201919084A1,B201806733A4,B201806733A4
18,B201907770C1,B201806398D2,B201806398D2
19,B201200976B1,B201806314B2,B201806314B2
20,B201317553B1,B201806314C3,B201806314C3
21,B201304490A2,B201806520B,B201806520B
22,B201321212A1,B201804872C1,B201804872C1
23,B201200976A1,B201806702A2,B201806702A2
24,B201602680C1,B201804612A1,B201804612A1
25,B201607053B1,B201806907C1,B201806907C1
26,B201607053A1,B201805795A2,B201805795A2
27,B201402563A2,B201018569A1,B201018569A1
28,B201402563D1,B201107603l1,B201107603l1
29,B201606721D1,B201018569K,B201018569K
30,B201325078A1,B201803197B,B201803197B
31,B201420727C,B201803895A1,B201803895A1
32,B201402563A1,B201801034A2,B201801034A2
33,B201612702B,B201801248A2,B201801248A2
34,B201402563B1,B201801681C,B201801681C
35,B201522223A8,B201800628A2,B201800628A2
36,B201514231A2,B201800470A,B201800470A
37,B201827480B2,B201800158B1,B201800158B1
38,B201827480C1,B201803433A2,B201803433A2
39,B201823770A,B201802382A2,B201802382A2
40,B201827480HE,B201801681B,B201801681B
41,B201823770B,B201800158D2,B201800158D2
42,B201804872C2,B201801682B,B201801682B
43,B201806703A,B201802382A1,B201802382A1
44,B201806220C2,B201802800A2,B201802800A2
45,B201803918A2,B201801682A2,B201801682A2
46,B201806213B1,B201800580A3,B201800580A3
